key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
EFFECT_FOXLAB_EXTRA_LIGHTNING,{4}/{3}/{2}/{0} chance (from lower to higher rank) of finding extra [color=#FF8C00]Ball Lightning[/color] in a crate,{4}/{3}/{2}/{0} chance (du rang le plus bas au plus élevé) de trouver un [color=#FF8C00]Éclair en boule[/color] supplémentaire dans une caisse,箱子中分别有{4}/{3}/{2}/{0}概率发现从低到高四级[color=#FF8C00]球状闪电[/color],箱の中に低い方から高い方へ4段階の[color=#FF8C00]ボールライトニング[/color]がそれぞれ{4}/{3}/{2}/{0}の確率で見つかる,상자에서 하급부터 상급까지 4등급 [color=#FF8C00]구형 번개[/color]를 발견할 확률이 각각 {4}/{3}/{2}/{0}입니다,箱子中分別有{4}/{3}/{2}/{0}機率發現從低到高四級[color=#FF8C00]球狀閃電[/color],{4}/{3}/{2}/{0} шанс (от низшего к высшему рангу) найти дополнительную [color=#FF8C00]Шаровую молнию[/color] в ящике,{4}/{3}/{2}/{0} szans (od niższej do wyższej rangi) na znalezienie dodatkowego [color=#FF8C00]Kulistego Pioruna[/color] w skrzyni,{4}/{3}/{2}/{0} probabilidad (de menor a mayor rango) de encontrar [color=#FF8C00]Rayo Esférico[/color] extra en una caja,{4}/{3}/{2}/{0} chance (do menor ao maior grau) de encontrar [color=#FF8C00]Relâmpago Globale[/color] extra em uma caixa,{4}/{3}/{2}/{0} Chance (von niedriger zu hoher Stufe) zusätzliche [color=#FF8C00]Kugelblitze[/color] in einer Kiste zu finden,Bir sandıkta ekstra [color=#FF8C00]Küresel Yıldırım[/color] bulma şansı {4}/{3}/{2}/{0} (düşükten yüksek rütbeye),{4}/{3}/{2}/{0} probabilità (dal grado più basso al più alto) di trovare [color=#FF8C00]Fulmine Globale[/color] extra in una cassa
EFFECT_FOXLAB_CONVERT_STAT_END_OF_WAVE_ALL,Every {3} permanent {1} are converted into {4} {2} at the end of a wave,Tous les {3} de {1} permanent sont convertis en {4} {2} à la fin d'une vague,敌袭结束后每{3}永久{1}转换为{4}{2},ウェーブ終了時に{3}ごとの永続的な{1}が{4}{2}に変換される,웨이브 종료 후 {3}마다 영구 {1}이(가) {4} {2}(으)로 전환됩니다,敵襲結束後每{3}永久{1}轉換為{4}{2},Каждые {3} постоянных {1} конвертируются в {4} {2} в конце волны,Każde {3} stałych {1} jest konwertowane na {4} {2} na końcu fali,Cada {3} de {1} permanente se convierte en {4} {2} al final de una oleada,A cada {3} {1} permanentes são convertidos em {4} {2} no final de uma onda,Alle {3} dauerhaften {1} werden am Ende einer Welle in {4} {2} umgewandelt,"Bir hücum sonunda her {3} kalıcı {1}, {4} {2}'ya dönüştürülür",Ogni {3} {1} permanenti vengono convertiti in {4} {2} alla fine di un'onda
EFFECT_FOXLAB_BALL_LIGHTNING,Shoots {0} ball lightnings around you (base range 300) every {4} seconds piercing 4 targets and dealing {1} ({3}) damage each,"Tire {0} éclairs en boule autour de vous (portée de base 300) toutes les {4} secondes, perçant 4 cibles et infligeant {1} ({3}) dégâts chacun",每{4}秒向周围发射{0}枚追踪雷电投射物，每枚投射物贯通4个目标，初始范围300，造成{1}({3})伤害,{4}秒ごとに周囲に{0}本の追尾雷弾を発射し、各弾は4つのターゲットを貫通し、基本範囲300で{1}（{3}）ダメージを与える,{4}초마다 주변에 {0}개의 추적 번개 투사체를 발사하며 각 투사체는 4개의 대상을 관통하고 기본 범위 300에서 {1} ({3}) 피해를 줍니다,每{4}秒向周圍發射{0}枚追蹤雷電投射物，每枚投射物貫通4個目標，初始範圍300，造成{1}({3})傷害,"Выстреливает {0} шаровыми молниями вокруг вас (базовая дальность 300) каждые {4} секунд, пробивающих 4 цели и наносящих {1} ({3}) урона каждая","Wystrzeliwuje {0} piorunów kulistych wokół ciebie (bazowy zasięg 300) co {4} sekund, przebijających 4 cele i zadających {1} ({3}) obrażeń każdy",Dispara {0} rayos esféricos a tu alrededor (rango base 300) cada {4} segundos atravesando 4 objetivos e infligiendo {1} ({3}) de daño cada uno,Dispara {0} relâmpagos globais ao seu redor (alcance base 300) a cada {4} segundos perfurando 4 alvos e causando {1} ({3}) de dano cada,"Schießt {0} Kugelblitze um dich herum (Basisreichweite 300) alle {4} Sekunden, durchdringen 4 Ziele und verursachen jeweils {1} ({3}) Schaden","Her {4} saniyede etrafına {0} küresel yıldırım fırlatır (temel menzil 300), 4 hedefi deler ve her biri {1} ({3}) hasar verir",Lancia {0} fulmini globali intorno a te (gittata base 300) ogni {4} secondi perforando 4 bersagli e infliggendo {1} ({3}) danni ciascuno
CHARACTER_FOXLAB_KIDNAPPER,Kidnapper,Ravisseur,绑匪,キッドナッパー,유괴범,綁匪,Похититель,Porywacz,Secuestrador,Sequestrador,Entführer,Kaçırıcı,Sequestratore
EFFECT_FOXLAB_REMOVE_ENEMY_SPEEDS,{0} {1}; Enemy you hit [color=#FF8C00]stands still[/color],{0} {1} ; Les ennemis touchés [color=#FF8C00]restent immobiles[/color],{0}{1}，敌人受击会被[color=#FF8C00]定身[/color],{0}{1}、攻撃を受けた敵は[color=#FF8C00]停止[/color]する,{0} {1}; 적중한 적이 [color=#FF8C00]제자리에 묶입니다[/color],{0}{1}，敵人受擊會被[color=#FF8C00]定身[/color],{0} {1}; поражённый вами враг [color=#FF8C00]замирает[/color],{0} {1}; trafiony wróg [color=#FF8C00]staje w miejscu[/color],{0} {1}; El enemigo golpeado [color=#FF8C00]se queda quieto[/color],{0} {1}; Inimigos atingidos [color=#FF8C00]param[/color],{0} {1}; Gegner die du triffst [color=#FF8C00]stehen still[/color],{0} {1}; Vurduğun düşman [color=#FF8C00]olduğu yerde kalır[/color],{0} {1}; I nemici colpiti [color=#FF8C00]si fermano[/color]
EFFECT_FOXLAB_MAX_RANGED_WEAPONS,You can only equip {0} ranged weapons at a time,Vous ne pouvez équiper que {0} armes à distance à la fois,最多可装备{0}把远战武器,遠隔武器は同時に{0}つまで装備可能,원거리 무기를 최대 {0}개까지만 장착할 수 있습니다,最多可裝備{0}把遠程武器,Вы можете экипировать только {0} оружий дальнего боя одновременно,Możesz jednocześnie wyposażyć maksymalnie {0} broni dystansowych,Solo puedes equipar {0} armas a distancia a la vez,Você só pode equipar {0} armas de longo alcance por vez,Du kannst maximal {0} Fernkampfwaffen gleichzeitig ausrüsten,Aynı anda yalnızca {0} uzun menzilli silah kuşanabilirsin,Puoi equipaggiare solo {0} armi a distanza alla volta
CHARACTER_FOXLAB_WORMHOLE_TRAVELER,Wormhole Traveler,Voyageur du Trou de ver,虫洞旅行者,ワームホールトラベラー,웜홀 여행자,蟲洞旅行者,Путешественник через кротовые норы,Podróżnik przez Tunel,Viajero del Agujero de Gusano,Viajante do Buraco de Minhoca,Wurmholereisender,Solucan Deliği Gezgini,Viajero del Wormhole
ITEM_FOXLAB_WORMHOLE,Wormhole,Trou de ver,虫洞,ワームホール,웜홀,蟲洞,Кротовая нора,Tunel Czasoprzestrzenny,Agujero de Gusano,Buraco de Minhoca,Wurmloch,Solucan Deliği,Wormhole
ITEM_STEALS,Item Steals,Vols d'objets,窃取次数,窃盗回数,아이템 훔치기 횟수,竊取次數,Кражи предметов,Kradzieże przedmiotów,Robos de Objetos,Roubos de Item,Diebstähle,Eşya Hırsızlığı,Furti di oggetti
EFFECT_FOXLAB_ITEM_STEAL_WARMHOLE_SPAWN,Stealing from the shop can spawn an elite and random enemies,Voler la boutique peut faire apparaître une élite et des ennemis aléatoires,偷窃会生成精英怪和随机敌人,ショップからの窃盗はエリートとランダムな敵を生成する可能性がある,상점에서 훔치면 엘리트와 무작위 적이 생성될 수 있습니다,偷竊會生成精英怪和隨機敵人,Кража из магазина может породить элитника и случайных врагов,Kradzież ze sklepu może przywołać elitarnego wroga i losowych wrogów,Robar de la tienda puede generar una élite y enemigos aleatorios,Roubar da loja pode gerar um élite e inimigos aleatórios,Stehlen aus dem Shop kann einen Elitegegner und zufällige Feinde erschaffen,Dükkândan çalmak bir elit ve rastgele düşmanlar çıkarabilir,Rubare dal negozio può generare un'elite e nemici casuali
EFFECT_FOXLAB_ITEM_STEAL_WARMHOLE,Can steal {0} item per shop since the next shop,Peut voler {0} objet(s) par boutique depuis la prochaine boutique,下个商店起，每个商店可窃取{0}个道具,次のショップから、各ショップで{0}個のアイテムを盗める,다음 상점부터 상점당 {0}개의 아이템을 훔칠 수 있습니다,下個商店起，每個商店可竊取{0}個道具,Можно украсть {0} предметов в магазине начиная со следующего магазина,Możesz ukraść {0} przedmiotów w sklepie od następnego sklepu,Puede robar {0} objetos por tienda desde la próxima tienda,Pode roubar {0} item por loja a partir da próxima loja,Kann {0} Gegenstände pro Laden stehlen seit dem nächsten Laden,Bir sonraki dükkândan itibaren dükkân başına {0} eşya çalınabilir,Puoi rubare {0} oggetti per negozio dal prossimo negozio
STRONGER_ELITES_ON_KILL,% Stronger Boss on Kill,% Boss renforcé par élimination,%头目击杀增幅,%ボス撃殺強化,% 보스 처치 시 강화,%頭目擊殺增幅,% Усиление босса при убийстве,% Wzmocnienie Bossa przy Zabójstwie,% Jefe Mejorado al Matar,% Boss Mais Forte ao Matar,% Stärkerer Boss bei Kill,% Öldürmede Daha Güçlü Patron,% Boss Più Forte all'Uccisione
EFFECT_FOXLAB_NEGATIVE_KNOCKBACK,Knockback changed to [color=#FF8C00]Grab[/color],Poussée changée en [color=#FF8C00]Attrapage[/color],击退改为[color=#FF8C00]抓取[/color],ノックバックを[color=#FF8C00]グラブ[/color]に変更,넉백을 [color=#FF8C00]잡기[/color]로 변경,擊退改為[color=#FF8C00]抓取[/color],Отталкивание изменено на [color=#FF8C00]Захват[/color],Odrzut zmieniony na [color=#FF8C00]chwyt[/color],Derribo cambiado a [color=#FF8C00]agarre[/color],Empurrão mudado para [color=#FF8C00]agarre[/color],Rückstoß in [color=#FF8C00]Fang[/color] geändert,İtme [color=#FF8C00]Yakalama[/color] olarak değiştirildi,Respinta cambiata in [color=#FF8C00]presa[/color]
EFFECT_FOXLAB_WORMHOLE_UPGRADE,"When above works, every {3} {1} are converted into {4} {2} and reset Knockback","Quand ce qui précède s'active, tous les {3} {1} sont convertis en {4} {2} et le recul est réinitialisé",上一项执行后，每{3}{1}转换为{4}{2}并清零击退,上記が発動した時、{3}ごとに{1}が{4}{2}に変換され、ノックバックがリセットされる,위 효과가 발동하면 {3}마다 {1}이(가) {4} {2}(으)로 전환되고 넉백이 초기화됩니다,上一項執行後，每{3}{1}轉換為{4}{2}並清零擊退,"Когда вышеуказанное срабатывает, каждые {3} {1} конвертируются в {4} {2} и Отталкивание сбрасывается","Gdy powyższe zadziała, każde {3} {1} jest konwertowane na {4} {2} i resetuje Odrzut","Cuando lo anterior funciona, cada {3} de {1} se convierte en {4} {2} y se reinicia el Derribo","Quando acima funciona, cada {3} {1} é convertido em {4} {2} e reinicia o Empurrão","Wenn obiges wirkt, werden alle {3} {1} in {4} {2} umgewandelt und Rückstoß zurückgesetzt","Yukarıdaki çalıştığında, her {3} {1}, {4} {2}'ya dönüştürülür ve Geri İtme sıfırlanır","Quando sopra funziona, ogni {3} {1} viene convertito in {4} {2} e azzera il Contraccolpo"
EFFECT_FOXLAB_WEAPON_STRUCT_BONUS,{0} base {1},{0} de base {1},{0} 基础{1},{0} 基礎{1},{0} 기본 {1},{0} 基礎{1},{0} базовых {1},{0} bazowe {1},{0} base {1},{0} base {1},{0} Basis-{1},{0} temel {1},{0} {1} di base
CHARACTER_FOXLAB_YINYANG,Yin-Yang Master,Maître Yin-Yang,阴阳师,陰陽師,음양사,陰陽師,Мастер Инь-Ян,Mistrz Yin-Yang,Maestro Yin-Yang,Mestre Yin-Yang,Yin-Yang-Meister,Yin-Yang Ustası,Maestro Yin-Yang
FOXLAB_ENABLE,Enabled,Activé,生效,有効,활성,生效,Включено,Aktywne,Activado,Ativado,Aktiviert,Etkin,Attivato
FOXLAB_DISABLE,Disabled,Désactivé,无效,無効,비활성,無效,Отключено,Nieaktywne,Desactivado,Desativado,Deaktiviert,Devre Dışı,Disattivato
NO_HEAL,No Heal,Aucun soin,无法治疗,治療不可,치유 불가,無法治療,Без исцеления,Brak Leczenia,Sin Curación,Sem Cura,Keine Heilung,İyileşme Yok,Nessuna Cura
LOSE_HP_PER_SECOND,HP Lose per Second,Perte de PV par seconde,每秒固定受伤,毎秒固定HP減少,초당 고정 체력 감소,每秒固定受傷,Потеря здоровья в секунду,Utrata HP na Sekundę,Pérdida de Vida por Segundo,Perda de HP por Segundo,TP-Verlust pro Sekunde,Saniyede HP Kaybı,Perdita PS al Secondo
POISONED_FRUIT,% Poisoned Fruit,% Fruits empoisonnés,%毒水果,%毒フルーツ,% 독이 든 과일,%毒水果,% Отравленный фрукт,% Trujące Owoce,% Fruta Envenenada,% Fruta Envenenada,% Giftfrucht,% Zehirli Meyve,% Frutto Avvelenato
ENEMY_FRUIT_DROPS,% Fruit Drops,% Chute de fruits,%水果概率,%フルーツ出現率,% 과일 드롭 확률,%水果機率,% Выпадение фруктов,% Szansa na Owoce,% Probabilidad de Fruta,% Chance de Frutas,% Fruchtdrops,% Meyve Düşüşü,% Probabilità Frutto
EFFECT_FOXLAB_SPACETIME_MACHINE,Steal {0} drop rate from opposing [color=#FF8C00]Spacetime Machine[/color],Pille {0} du taux de drop de la [color=#FF8C00]Machine spatio-temporelle[/color] adverse,掠夺对立[color=#FF8C00]时空装置[/color]{0}的爆率,対立する[color=#FF8C00]時空装置[/color]から{0}ドロップ率を奪う,상대편 [color=#FF8C00]시공간 장치[/color]의 {0} 드롭률을 빼앗습니다,掠奪對立[color=#FF8C00]時空裝置[/color]{0}的爆率,Украсть {0} шанс выпадения у вражеского [color=#FF8C00]Пространственно-временного устройства[/color],Okradnij {0} szansy na upuszczenie z przeciwnego [color=#FF8C00]Urządzenia Czasoprzestrzennego[/color],Robar {0} probabilidad de caída de la [color=#FF8C00]Máquina Espaciotemporal[/color] opuesta,Rouba {0} de taxa de drop da [color=#FF8C00]Máquina Espaço-Tempo[/color] oposta,{0} Drop-Rate vom gegnerischen [color=#FF8C00]Raumzeitgerät[/color] stehlen,Karşıt [color=#FF8C00]Uzay Zaman Cihazı[/color]'ndan {0} düşüş oranını çal,Ruba {0} probabilità di drop dalla [color=#FF8C00]Macchina Spaziotemporale[/color] opposta
EFFECT_FOXLAB_SPACETIME_MACHINE_YIN,You can't heal and fruit may be toxic; neutralize 1 HP lose per second,Vous ne pouvez pas être soigné et les fruits peuvent être toxiques ; neutralise 1 perte de PV par seconde,无法治疗且增加毒水果概率和毒性，抵消1点每秒受伤,治療不可で毒フルーツの確率と毒性が増加し、毎秒1HP減少を相殺する,치유할 수 없으며 독이 든 과일 확률과 독성이 증가합니다; 초당 체력 감소 1을 상쇄합니다,無法治療且增加毒水果機率和毒性，抵消1點每秒受傷,Вы не можете лечиться и фрукты могут быть ядовитыми; нейтрализует 1 потерю здоровья в секунду,Nie możesz się leczyć,No puedes curarte y la fruta puede ser tóxica; neutraliza 1 de pérdida de vida por segundo,Você não pode curar e frutas podem ser tóxicas; neutraliza 1 de perda de HP por segundo,Du kannst nicht heilen und Früchte können giftig sein; neutralisiert 1 TP-Verlust pro Sekunde,İyileşemezsin ve meyveler zehirli olabilir; saniyede 1 HP kaybını nötralize eder,Non puoi curarti e i frutti possono essere tossici; neutralizza 1 PS perso al secondo
EFFECT_FOXLAB_SPACETIME_MACHINE_YANG,Lose 1 HP every second; neutralize 1 penalty of no heal and toxic fruit,Perdez 1 PV chaque seconde ; neutralise 1 pénalité d'absence de soin et de fruit toxique,每秒受到1伤害，抵消1点无法治疗和毒水果的负面,毎秒1HPダメージを受け、治療不可と毒フルーツのペナルティ1つを相殺する,매초 1 체력 감소; 치유 불가 및 독 과일 페널티 1을 상쇄합니다,每秒受到1傷害，抵消1點無法治療和毒水果的負面,Теряете 1 здоровья каждую секунду; нейтрализует 1 штраф от запрета лечения и ядовитых фруктов,Tracisz 1 HP co sekundę; neutralizuje 1 karnet braku leczenia i trujących owoców,Pierdes 1 Vida cada segundo; neutraliza 1 penalización de sin curación y fruta tóxica,Perde 1 HP a cada segundo; neutraliza 1 penalidade de sem cura e fruta tóxica,Verliert 1 TP jede Sekunde; neutralisiert 1 Strafe von Keine Heilung und Giftfrucht,Her saniye 1 HP kaybedersin; iyileşme yok ve zehirli meyve cezalarının 1'ini nötralize eder,Perdi 1 PS ogni secondo; neutralizza 1 penalità di nessuna cura e frutta tossica
ITEM_FOXLAB_SPACETIME_MACHINE_YIN,Spacetime Machine (Yin),Machine spatio-temporelle (Yin),时空装置・阴,時空装置・陰,시공간 장치・음,時空裝置・陰,Пространственно-временное устройство (Инь),Urządzenie Czasoprzestrzenne (Yin),Máquina Espaciotemporal (Yin),Máquina Espaço-Tempo (Yin),Raumzeitgerät (Yin),Uzay Zaman Cihazı (Yin),Macchina Spaziotemporale (Yin)
